Well Name|Card Time|Card Type|Stroke Period|SPM|Stroke Length|Hours Since Gauge Off|Surface Max Load|Surface Min Load|PositionLimit|Surface Positions|Surface Loads|Downhole Positions|Downhole Loads
LA-0024|2020-09-30T15:25:53.0000000Z|Current|6.6|9.09090909090909|68|23.95|9072|2772|68|0.1,0.3,0.7,1.1,1.9,2.6,3.2,4,4.9,5.9,6.9,8,9,10.1,11.3,12.5,13.6,14.9,16.7,18.4,19.9,21.7,23.4,24.9,26.6,28.2,29.5,31.1,33,34.5,36.1,37.8,39.3,40.7,42.4,43.8,45.3,46.4,47.4,48.7,50.1,51.2,52.6,53.7,54.7,55.9,56.8,57.9,58.7,59.7,60.7,61.8,62.6,63.3,63.9,64.7,65.3,65.6,66.2,66.6,67,67.4,67.5,67.8,68,68,68,68,68,67.8,67.5,67.4,67,66.6,66,65.5,64.9,64.1,63.3,62.4,61.2,60.1,59.1,58.2,57,55.7,54.5,53.4,52,50.6,49.3,48,46.6,45.5,44.1,42.4,40.9,39.1,37.4,35.5,33.7,31.7,29.7,28.2,26.6,25.3,24,22.4,20.9,19.2,17.4,15.5,13.9,12.6,11.3,9.9,9,8,6.9,5.9,4.9,4,3.2,2.4,1.5,0.9,0.5,0.3,0.1,0.1,0,0,0.1,0.1|5648,6040,6328,6588,6852,7112,7480,7872,8132,8364,8576,9072,9072,8732,8628,8472,8160,7976,8132,8264,8364,8500,8576,8552,8472,8316,8160,8024,7948,7872,7896,7948,7976,8000,8024,7948,7872,7844,7820,7792,7792,7820,7820,7820,7820,7792,7764,7712,7740,7764,7792,7896,8024,8104,8104,8104,8080,8024,8024,8052,7976,7636,7320,7268,7164,7004,6824,6668,6668,6824,6928,6980,7060,7032,6928,6720,6484,6248,6120,6040,5960,5672,5204,4680,4312,3920,3580,3112,2772,3112,3452,3632,4080,4444,4364,4208,4156,3816,3476,3372,3452,3476,3632,3920,4080,4156,4208,4132,3972,3920,3896,3764,3764,3972,4080,4132,4236,4288,4184,4080,4024,3948,3816,3868,4104,4628,4992,4916,4968,5124,5280,5596,5648,5648||
LA-0024|2020-09-30T14:25:51.0000000Z|Current|6.55|9.16030534351145|68|23.95|9100|2612|68|0.1,0.3,0.5,0.9,1.5,2.4,3,3.6,4.6,5.3,6.3,7.2,8.4,9.3,10.5,11.7,12.6,13.9,15.3,16.8,18.7,20.5,22.2,23.9,25.4,27,28.5,29.8,31.6,33.3,34.8,36.4,38.1,39.6,41.2,42.6,44.2,45.5,46.7,47.8,49.2,50.5,51.9,53.2,54.2,55.3,56.5,57.4,58.4,59.3,60.3,61.3,62.4,63.2,63.9,64.7,65.3,65.6,66.2,66.6,66.8,67.2,67.4,67.6,67.8,68,68,68,67.8,67.6,67.4,67.2,66.6,66.2,65.5,64.9,63.9,63.2,62.4,61.1,60.1,59.1,58,56.8,55.7,54.4,53.2,51.9,50.5,49.2,47.8,46.5,45.4,44,42.3,40.8,39,37.3,35.4,33.7,31.6,29.8,28.3,26.8,25.4,23.9,22.5,21,19.5,18,15.9,14.3,13,11.4,10.3,9.3,8.4,7.2,6.3,5.3,4.3,3.6,2.8,2.1,1.3,0.7,0.5,0.3,0.1,0,0,0.1,0.1|5724,6040,6224,6512,6720,7032,7400,7684,8024,8236,8500,9100,9100,8784,8652,8552,8160,7948,8080,8212,8316,8472,8576,8576,8472,8340,8184,8052,7948,7896,8000,8052,8052,8080,8104,8000,7872,7820,7764,7764,7792,7872,7924,7948,7924,7896,7820,7712,7684,7712,7740,7820,7976,8160,8184,8160,8132,8080,7976,7976,7764,7344,7216,7164,7004,6852,6692,6616,6744,6876,6928,7032,7060,6956,6800,6588,6300,6092,5960,5908,5648,5280,4864,4392,4052,3868,3164,2612,3032,3452,3504,3896,4524,4420,4236,4208,3972,3476,3372,3372,3344,3528,3896,4052,4132,4312,4184,4024,3920,3920,3740,3684,3868,4052,4104,4208,4340,4236,4104,4024,3948,3816,3816,3920,4208,4784,5020,4940,5020,5152,5308,5724,5724||
LA-0024|2020-09-30T11:05:52.0000000Z|Current|6.5|9.23076923076923|68|23.95|9044|2664|68|0,0.1,0.5,0.9,1.9,2.7,3.2,4,4.9,5.9,6.9,8,9,10.2,11.3,12.5,13.8,15.3,17.3,19,20.8,22.5,24,25.8,27.3,28.8,30.2,32.1,33.8,35.4,36.9,38.7,40,41.7,43.3,44.6,46,47,48.3,49.6,50.8,52.1,53.3,54.3,55.4,56.6,57.7,58.7,59.5,60.5,61.4,62.5,63.3,64.1,64.9,65.5,65.8,66.4,66.8,67.2,67.4,67.8,67.8,68,68,68,68,67.8,67.5,67.4,67,66.6,66.2,65.6,64.9,64.1,63.3,62.4,61,60,59.1,57.9,56.8,55.4,54.3,53.1,51.8,50.6,49.3,47.9,46.6,45.2,43.7,42,40,38.5,36.6,35,33.3,31.6,29.8,28.1,26.5,25,23.4,21.9,20.2,18.4,16.7,15,13.6,12.3,11.1,10,8.8,7.9,6.7,5.7,4.8,4,3.2,2.7,2.1,1.1,0.7,0.4,0.1,0,0,0,0,0|5908,6248,6536,6772,7032,7400,7764,8104,8392,8524,8812,9044,8760,8500,8420,8264,8000,8080,8236,8364,8444,8524,8524,8472,8340,8212,8104,8024,8000,8024,8080,8080,8104,8104,8052,7976,7948,7924,7896,7924,7924,7948,7924,7896,7872,7820,7764,7764,7792,7820,7872,7948,8052,8080,8052,8024,8000,8000,8000,7764,7320,7216,7164,6980,6800,6640,6564,6668,6824,6852,6904,6904,6720,6328,5856,5568,5464,5440,5308,4784,3948,3424,3136,2980,2664,3060,3740,4000,4156,4364,4420,4052,3740,3476,3216,3164,3400,3528,3740,4080,4208,4024,4052,3948,3712,3556,3712,3660,3740,3972,4184,4080,4104,4104,4000,3844,3792,3868,3844,3896,4024,4132,4024,4260,4812,5020,4916,5100,5256,5384,5908,5908||
LA-0024|2020-09-30T08:25:51.0000000Z|Current|6.6|9.09090909090909|68|23.95|9180|2692|68|0,0,0.1,0.5,0.9,1.9,2.7,3.2,4.2,5.2,6,7.1,8.3,9.2,10.4,11.7,12.9,14.3,15.8,17.7,19.4,21.2,23.1,24.7,26.4,28.1,29.7,31.4,33.4,34.9,36.5,38,39.5,41.1,42.8,44.4,45.9,46.9,48.2,49.6,51,52.1,53.5,54.4,55.6,56.7,57.7,58.7,59.6,60.6,61.8,62.7,63.5,64.3,64.9,65.4,66,66.4,66.8,67.2,67.5,67.7,67.7,67.7,68,67.7,68,67.7,67.7,67.5,67.2,66.8,66.4,65.8,65.4,64.9,64.1,63.3,62.3,61.2,60.2,59.3,58.3,57.3,56.2,54.8,53.8,52.7,51.5,50.2,49,47.6,46.7,45.4,43.8,42.3,40.7,39.2,37.6,35.9,34.3,32.8,30.9,29.3,27.8,26.2,24.7,23.3,21.8,20,18.5,16.8,15,13.7,12.5,11.2,10,9,7.9,6.7,5.7,4.8,4,3.2,2.5,1.7,0.9,0.5,0.4,0.1,0.1,0,0,0|5724,6040,6380,6668,6876,7164,7532,7896,8212,8444,8680,9100,9180,8864,8704,8576,8264,8024,8132,8264,8340,8420,8500,8552,8472,8364,8288,8212,8132,8104,8132,8160,8212,8212,8236,8184,8132,8104,8080,8080,8080,8080,8080,8080,8080,8024,8000,8000,8000,7976,8000,8024,8052,8104,8132,8160,8212,8236,8288,8160,7712,7244,7216,7140,6956,6772,6616,6484,6512,6668,6772,6800,6852,6824,6668,6380,6040,5856,5700,5648,5492,5044,4472,3920,3660,3400,3084,2692,3004,3400,3608,3844,4132,4184,3920,3712,3528,3216,3032,3240,3372,3452,3684,4000,3844,3712,3764,3684,3372,3400,3504,3476,3504,3712,3844,3792,3816,3816,3712,3580,3528,3528,3528,3528,3632,3740,4312,5100,5280,5176,5360,5544,5724,5724||
LA-0024|2020-09-30T06:25:51.0000000Z|Current|6.55|9.16030534351145|68|23.95|9180|2824|68|0,0,0.1,0.5,0.9,1.9,2.7,3.5,4.2,5.2,6.1,7.3,8.5,9.4,10.4,11.6,12.9,14.3,15.6,17.7,19.4,21.2,23.1,24.7,26.4,28.1,29.7,31.4,33.4,35.1,36.7,38.4,39.9,41.5,43.2,44.8,46.1,47.1,48.4,49.8,51.1,52.5,53.8,55,56.2,57.3,58.3,59.3,60.2,61.2,62.3,63.1,63.9,64.7,65.2,65.6,66.2,66.6,66.9,67.4,67.5,67.7,67.7,68,68,68,68,68,67.5,67.4,66.9,66.6,66,65.4,64.7,63.9,63.1,62.3,61,60,59.1,58.1,56.9,55.8,54.6,53.5,52.1,51,49.8,48.4,47.1,46.1,44.8,43.2,41.7,40.1,38.6,36.8,35.1,33.4,31.6,29.9,28.3,27,25.5,24.1,22.8,21.2,19.7,18.1,16.4,14.8,13.5,12.3,11,9.8,8.6,7.7,6.5,5.4,4.6,3.8,3,2.5,1.7,0.9,0.7,0.4,0.4,0.1,0.1,0,0|5752,6040,6352,6668,6824,7060,7480,7872,8212,8420,8732,9180,9100,8812,8680,8500,8184,8052,8160,8288,8392,8500,8576,8576,8472,8340,8236,8160,8052,8080,8160,8184,8184,8236,8212,8104,8024,8000,7976,7948,7976,8024,8052,8024,8000,7976,7948,7896,7872,7896,7924,7976,8024,8104,8160,8160,8212,8236,8132,7712,7192,7140,7084,6904,6720,6564,6484,6588,6720,6800,6852,6876,6800,6616,6276,5960,5724,5596,5568,5280,4732,4260,3844,3476,3240,2952,2824,3240,3556,3844,4024,4236,4104,3844,3660,3476,3084,3112,3372,3452,3556,3896,4052,3764,3764,3792,3580,3344,3528,3556,3504,3660,3948,3868,3792,3868,3844,3632,3556,3660,3632,3580,3684,3764,3844,4420,5176,5332,5228,5412,5568,5752,5752||
LA-0024|2020-09-30T02:05:53.0000000Z|Current|6.55|9.16030534351145|68|23.95|9180|2796|68|0,0,0.4,0.7,1.3,2.3,3,3.6,4.6,5.4,6.3,7.5,8.4,9.4,10.5,11.7,12.9,14,15.6,17.5,19,20.9,22.5,24.2,25.8,27.5,29,30.6,32.5,34.1,35.6,37.3,38.9,40.4,42.1,43.7,45,46.4,47.5,48.9,50.2,51.6,52.9,54.1,55.2,56.4,57.4,58.5,59.5,60.2,61.6,62.5,63.3,64.1,64.9,65.5,65.8,66.4,66.6,67,67.4,67.5,67.5,67.8,68,68,68,67.8,67.5,67.4,67,66.4,66,65.3,64.7,63.9,63.1,62.2,60.8,59.9,58.9,57.9,56.8,55.6,54.5,53.3,52,50.8,49.6,48.3,47,46,44.5,42.9,41.4,39.7,38.1,36.4,34.8,33.3,31.3,29.6,28.2,26.9,25.4,23.8,22.3,20.8,19.2,17.7,15.8,14.4,13.3,11.9,10.8,9.8,8.6,7.7,6.5,5.5,4.8,3.8,3.2,2.7,1.9,1.1,0.5,0.4,0.1,0.1,0.1,0,0|5780,6144,6460,6668,6852,7192,7532,7896,8236,8472,8680,9124,9180,8840,8680,8552,8316,8104,8212,8392,8524,8576,8628,8680,8552,8364,8236,8184,8052,8000,8080,8132,8132,8160,8132,8000,7924,7896,7844,7820,7872,7948,7976,7976,7924,7872,7792,7764,7764,7764,7844,7948,8104,8236,8264,8236,8212,8160,8104,7792,7216,7060,7060,6928,6744,6588,6616,6800,6876,6904,6980,6956,6744,6432,6120,5804,5596,5516,5412,4992,4496,4156,3816,3216,2876,2796,3084,3344,3740,4156,4312,4208,4024,3920,3556,3188,3060,3320,3372,3476,3764,4132,3896,3816,3948,3764,3452,3504,3712,3504,3608,3868,3896,3740,3920,3972,3792,3740,3844,3764,3660,3764,3792,3660,3608,4104,4940,5384,5228,5256,5412,5780,5780||
LA-0024|2020-09-30T01:05:51.0000000Z|Current|6.5|9.23076923076923|68|23.95|9152|2824|68|0,0.1,0.5,0.9,1.9,2.7,3.4,4.2,5.2,6.1,7.2,8.4,9.4,10.5,11.7,13,14.4,15.9,17.8,19.6,21.3,23.2,24.7,26.5,28,29.5,31.1,33,34.5,36.1,37.8,39.3,40.9,42.6,44.1,45.7,46.7,48,49.3,50.7,52,53.4,54.3,55.5,56.6,57.6,58.5,59.5,60.5,61.6,62.6,63.3,64.1,64.7,65.3,65.9,66.4,66.8,67.2,67.4,67.6,67.8,67.8,68,68,67.8,67.8,67.4,67.2,66.8,66.4,65.9,65.3,64.5,63.9,63,62.2,60.8,59.9,58.9,57.8,56.8,55.7,54.3,53.4,52,50.7,49.5,48.2,46.8,45.9,44.5,43,41.4,39.7,38.2,36.6,34.9,33.4,31.7,29.9,28.4,26.9,25.3,23.8,22.2,20.7,19.2,17.6,15.7,14.4,13,11.9,10.7,9.6,8.6,7.5,6.3,5.3,4.4,3.6,2.8,2.3,1.5,0.9,0.5,0.4,0.1,0.1,0,0,0|6012,6328,6588,6824,7164,7532,7872,8212,8444,8732,9152,9072,8784,8604,8444,8184,8024,8132,8236,8392,8472,8552,8552,8444,8264,8160,8080,8024,8024,8080,8132,8160,8184,8160,8104,8052,8000,8000,8000,8000,8024,8052,8052,8000,7976,7924,7896,7896,7896,7976,8000,8052,8104,8104,8104,8104,8132,8104,7740,7244,7164,7112,6928,6744,6588,6512,6564,6720,6824,6876,6876,6772,6536,6120,5752,5568,5516,5464,5100,4548,4080,3660,3268,3164,2824,2952,3424,3740,3920,4104,4260,3972,3740,3556,3268,3032,3240,3452,3528,3740,4052,3868,3764,3816,3712,3476,3504,3580,3504,3580,3792,3868,3868,3896,3868,3792,3684,3632,3608,3580,3580,3660,3684,3816,4420,5152,5256,5152,5308,5492,6012,6012||
LA-0024|2020-09-29T23:25:51.0000000Z|Current|6.55|9.16030534351145|68|23.95|9152|2692|68|0,0,0.1,0.5,0.9,1.7,2.6,3.2,4.2,4.9,5.9,7.1,8.2,9.1,10.3,11.5,12.6,13.8,15.3,17,19,20.7,22.6,24.1,25.9,27.6,29.1,30.7,32.6,34.2,35.9,37.4,39,40.5,42,43.4,44.9,46.2,47.4,48.6,49.9,51.2,52.6,53.9,54.9,56,57.2,58.3,59.3,60.1,61,62.4,63.1,63.7,64.5,65.1,65.6,66.2,66.6,67,67.4,67.5,67.8,67.8,68,68,68,68,68,67.5,67.4,67,66.6,66,65.5,64.7,63.9,63,62,60.7,59.5,58.5,57.4,56.2,55.1,53.9,52.6,51.2,49.9,48.6,47.2,46.2,44.9,43.4,41.8,40.3,38.7,36.8,35.1,33.2,31.1,29.4,27.8,26.5,24.9,23.8,22.2,20.9,19.2,17.6,15.7,14.2,12.8,11.5,10.3,9.4,8.4,7.4,6.3,5.3,4.6,3.6,2.8,2.3,1.3,0.9,0.5,0.3,0.3,0.3,0.1,0,0|5568,5856,6224,6512,6772,7004,7344,7684,8052,8340,8628,9072,9152,8840,8680,8500,8160,7976,8080,8160,8264,8392,8500,8524,8444,8340,8236,8184,8080,8052,8104,8160,8184,8184,8236,8184,8104,8052,8052,8024,8000,8024,8052,8052,8024,8000,7976,7948,7896,7896,7924,7924,7976,8024,8052,8080,8104,8132,8160,8052,7660,7320,7296,7164,6980,6772,6616,6512,6536,6668,6772,6852,6876,6852,6720,6460,6172,5960,5752,5620,5464,5152,4652,4260,4000,3476,2824,2692,2952,3188,3424,4000,4288,4184,4080,4024,3684,3240,3084,3216,3240,3344,3712,4024,4000,3896,3972,3764,3504,3424,3580,3452,3556,3844,3920,3844,3972,3972,3740,3580,3580,3504,3400,3504,3764,4420,5100,5124,4992,5152,5332,5568,5568||
LA-0024|2020-09-29T22:25:52.0000000Z|Current|6.6|9.09090909090909|68|23.95|9072|2900|68|0,0.1,0.3,0.5,1.1,1.9,2.6,3.4,4.2,5.1,6.3,7.2,8.4,9.6,10.7,11.9,13,14.4,15.7,17.8,19.3,21.1,22.8,24.3,26.1,27.6,29.1,30.7,32.6,34.2,35.7,37.2,39,40.3,41.8,43.4,44.9,46.2,47,48.3,49.5,50.9,52.2,53.4,54.3,55.4,56.6,57.6,58.5,59.5,60.5,61.4,62.6,63.1,63.9,64.7,65.3,65.6,66.2,66.6,67,67.4,67.5,67.8,67.8,68,68,68,68,67.8,67.8,67.4,67,66.6,66.2,65.6,64.9,64.1,63.1,62.2,60.8,59.9,58.7,57.8,56.6,55.4,54.3,53.4,52,50.9,49.5,48.2,46.8,45.7,44.1,42.4,40.7,39,37.4,35.7,33.9,32.2,30.3,28.8,27.2,25.7,24.1,22.6,20.9,19.3,17.8,16.1,14.5,13.2,12,10.7,9.6,8.6,7.4,6.3,5.3,4.3,3.6,2.8,2.3,1.5,0.9,0.7,0.3,0.3,0.1,0,0,0|5568,5908,6196,6460,6692,7004,7400,7764,8024,8236,8704,9072,8992,8760,8628,8392,8104,7948,8052,8184,8288,8392,8500,8500,8392,8264,8160,8080,8024,8024,8080,8160,8184,8184,8160,8132,8052,8000,8000,7976,8000,8000,8024,8024,8000,7976,7924,7896,7844,7872,7896,7948,8000,8052,8052,8024,8024,8000,8024,8052,8024,7660,7268,7216,7140,6956,6772,6616,6512,6536,6692,6772,6824,6800,6720,6352,5856,5544,5412,5308,5124,4652,4132,3684,3216,3084,2900,2900,3344,3740,3972,4080,4236,4052,3764,3556,3344,3084,3240,3452,3580,3712,4052,3972,3792,3844,3740,3528,3476,3608,3556,3608,3816,4000,3920,3948,3948,3844,3660,3608,3684,3632,3660,3740,3816,4052,4704,5152,5020,5044,5308,5492,5568,5568||
LA-0024|2020-09-29T18:05:52.0000000Z|Current|6.55|9.16030534351145|68|23.95|9152|2876|68|0,0,0.1,0.5,0.9,1.9,2.7,3.4,4.2,5.2,6.1,7.1,8.3,9.2,10.4,11.3,12.5,13.6,15,16.5,18.4,20.2,21.9,23.7,25.2,26.8,28.5,29.8,31.6,33.5,35,36.6,38.3,39.7,41.2,42.7,44.2,45.8,46.8,48.1,49.5,50.6,52,53.3,54.3,55.4,56.6,57.5,58.5,59.5,60.5,61.6,62.7,63.5,64.3,64.9,65.5,66,66.4,66.8,67.2,67.4,67.5,67.8,68,68,68,68,68,67.8,67.5,67.2,66.8,66.2,65.6,65,64.3,63.3,62.5,61.6,60.2,59.3,58.1,57,55.8,54.6,53.7,52.6,51.2,49.8,48.5,47,45.8,44.1,42.3,40.6,38.9,37.3,35.6,34.1,32.3,30.4,28.7,27.1,25.6,23.8,22.3,20.6,19,17.5,15.6,14.4,13.1,11.9,10.5,9.4,8.4,7.3,6.1,5.4,4.4,3.6,2.9,2.3,1.5,0.7,0.4,0.1,0.1,0,0,0,0|5700,5988,6300,6536,6720,7032,7400,7740,8052,8264,8552,9020,9152,8864,8704,8604,8340,8080,8132,8236,8364,8444,8524,8552,8500,8364,8264,8184,8104,8024,8080,8132,8132,8104,8104,8024,7948,7844,7844,7844,7872,7924,7924,7896,7872,7820,7764,7712,7712,7740,7820,7896,8024,8132,8132,8080,8052,8000,8000,8024,7820,7344,7140,7112,6956,6800,6640,6564,6720,6824,6824,6876,6800,6460,5856,5516,5412,5332,5176,4784,4080,3556,3320,3188,2876,2876,3528,3844,4000,4132,4364,4052,3712,3580,3504,3112,3292,3632,3660,3684,4080,4080,3792,3868,3868,3632,3504,3764,3740,3660,3868,4104,3920,3896,4000,3948,3712,3684,3868,3816,3740,3844,3920,3712,3764,4340,5044,5256,5124,5204,5360,5700,5700||
